2026-02-19 17:55:01 | src.extraction.resume_parser | INFO | chunk_resume:59 | Chunking resume text
2026-02-19 17:55:01 | src.extraction.resume_parser | INFO | chunk_resume:62 | Created 7 chunks
2026-02-19 17:55:01 | src.extraction.resume_parser | INFO | process_resume:88 | Resume processing complete: 7 chunks created
2026-02-20 09:32:09 | src.extraction.resume_parser | INFO | __init__:22 | ResumeParser initialized with chunk_size=400, overlap=50
2026-02-20 09:32:09 | src.extraction.resume_parser | INFO | process_resume:68 | Starting complete resume processing: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\nishita_resume.pdf
2026-02-20 09:32:09 | src.extraction.resume_parser | INFO | parse_pdf:26 | Parsing resume from: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\nishita_resume.pdf
2026-02-20 09:32:09 | src.extraction.resume_parser | INFO | parse_pdf:37 | Successfully parsed PDF: 1 pages, 2416 characters
2026-02-20 09:32:09 | src.extraction.resume_parser | INFO | parse_text:46 | Normalizing resume text
2026-02-20 09:32:09 | src.extraction.resume_parser | INFO | parse_text:54 | Text normalization complete: 2343 characters
2026-02-20 09:32:09 | src.extraction.resume_parser | INFO | chunk_resume:59 | Chunking resume text
2026-02-20 09:32:09 | src.extraction.resume_parser | INFO | chunk_resume:62 | Created 7 chunks
2026-02-20 09:32:09 | src.extraction.resume_parser | INFO | process_resume:88 | Resume processing complete: 7 chunks created
2026-02-20 09:42:41 | src.extraction.resume_parser | INFO | __init__:22 | ResumeParser initialized with chunk_size=400, overlap=50
2026-02-20 09:42:41 | src.extraction.resume_parser | INFO | process_resume:68 | Starting complete resume processing: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 09:42:41 | src.extraction.resume_parser | INFO | parse_pdf:26 | Parsing resume from: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 09:42:42 | src.extraction.resume_parser | INFO | parse_pdf:37 | Successfully parsed PDF: 1 pages, 3566 characters
2026-02-20 09:42:42 | src.extraction.resume_parser | INFO | parse_text:46 | Normalizing resume text
2026-02-20 09:42:42 | src.extraction.resume_parser | INFO | parse_text:54 | Text normalization complete: 3445 characters
2026-02-20 09:42:42 | src.extraction.resume_parser | INFO | chunk_resume:59 | Chunking resume text
2026-02-20 09:42:42 | src.extraction.resume_parser | INFO | chunk_resume:62 | Created 10 chunks
2026-02-20 09:42:42 | src.extraction.resume_parser | INFO | process_resume:88 | Resume processing complete: 10 chunks created
2026-02-20 10:28:14 | src.extraction.resume_parser | INFO | __init__:22 | ResumeParser initialized with chunk_size=400, overlap=50
2026-02-20 10:28:14 | src.extraction.resume_parser | INFO | process_resume:68 | Starting complete resume processing: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 10:28:14 | src.extraction.resume_parser | INFO | parse_pdf:26 | Parsing resume from: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 10:28:14 | src.extraction.resume_parser | INFO | parse_pdf:37 | Successfully parsed PDF: 1 pages, 3566 characters
2026-02-20 10:28:14 | src.extraction.resume_parser | INFO | parse_text:46 | Normalizing resume text
2026-02-20 10:28:14 | src.extraction.resume_parser | INFO | parse_text:54 | Text normalization complete: 3445 characters
2026-02-20 10:28:14 | src.extraction.resume_parser | INFO | chunk_resume:59 | Chunking resume text
2026-02-20 10:28:14 | src.extraction.resume_parser | INFO | chunk_resume:62 | Created 10 chunks
2026-02-20 10:28:14 | src.extraction.resume_parser | INFO | process_resume:88 | Resume processing complete: 10 chunks created
2026-02-20 10:32:55 | src.extraction.resume_parser | INFO | __init__:22 | ResumeParser initialized with chunk_size=400, overlap=50
2026-02-20 10:32:55 | src.extraction.resume_parser | INFO | process_resume:68 | Starting complete resume processing: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 10:32:55 | src.extraction.resume_parser | INFO | parse_pdf:26 | Parsing resume from: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 10:32:56 | src.extraction.resume_parser | INFO | parse_pdf:37 | Successfully parsed PDF: 1 pages, 3566 characters
2026-02-20 10:32:56 | src.extraction.resume_parser | INFO | parse_text:46 | Normalizing resume text
2026-02-20 10:32:56 | src.extraction.resume_parser | INFO | parse_text:54 | Text normalization complete: 3445 characters
2026-02-20 10:32:56 | src.extraction.resume_parser | INFO | chunk_resume:59 | Chunking resume text
2026-02-20 10:32:56 | src.extraction.resume_parser | INFO | chunk_resume:62 | Created 10 chunks
2026-02-20 10:32:56 | src.extraction.resume_parser | INFO | process_resume:88 | Resume processing complete: 10 chunks created
2026-02-20 10:35:29 | src.extraction.resume_parser | INFO | __init__:22 | ResumeParser initialized with chunk_size=400, overlap=50
2026-02-20 10:35:29 | src.extraction.resume_parser | INFO | process_resume:68 | Starting complete resume processing: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 10:35:29 | src.extraction.resume_parser | INFO | parse_pdf:26 | Parsing resume from: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 10:35:30 | src.extraction.resume_parser | INFO | parse_pdf:37 | Successfully parsed PDF: 1 pages, 3566 characters
2026-02-20 10:35:30 | src.extraction.resume_parser | INFO | parse_text:46 | Normalizing resume text
2026-02-20 10:35:30 | src.extraction.resume_parser | INFO | parse_text:54 | Text normalization complete: 3445 characters
2026-02-20 10:35:30 | src.extraction.resume_parser | INFO | chunk_resume:59 | Chunking resume text
2026-02-20 10:35:30 | src.extraction.resume_parser | INFO | chunk_resume:62 | Created 10 chunks
2026-02-20 10:35:30 | src.extraction.resume_parser | INFO | process_resume:88 | Resume processing complete: 10 chunks created
2026-02-20 10:37:09 | src.extraction.resume_parser | INFO | __init__:22 | ResumeParser initialized with chunk_size=400, overlap=50
2026-02-20 10:37:09 | src.extraction.resume_parser | INFO | process_resume:68 | Starting complete resume processing: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 10:37:09 | src.extraction.resume_parser | INFO | parse_pdf:26 | Parsing resume from: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 10:37:09 | src.extraction.resume_parser | INFO | parse_pdf:37 | Successfully parsed PDF: 1 pages, 3566 characters
2026-02-20 10:37:09 | src.extraction.resume_parser | INFO | parse_text:46 | Normalizing resume text
2026-02-20 10:37:09 | src.extraction.resume_parser | INFO | parse_text:54 | Text normalization complete: 3445 characters
2026-02-20 10:37:09 | src.extraction.resume_parser | INFO | chunk_resume:59 | Chunking resume text
2026-02-20 10:37:09 | src.extraction.resume_parser | INFO | chunk_resume:62 | Created 10 chunks
2026-02-20 10:37:09 | src.extraction.resume_parser | INFO | process_resume:88 | Resume processing complete: 10 chunks created
2026-02-20 10:40:12 | src.extraction.resume_parser | INFO | __init__:22 | ResumeParser initialized with chunk_size=400, overlap=50
2026-02-20 10:40:12 | src.extraction.resume_parser | INFO | process_resume:68 | Starting complete resume processing: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 10:40:12 | src.extraction.resume_parser | INFO | parse_pdf:26 | Parsing resume from: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 10:40:12 | src.extraction.resume_parser | INFO | parse_pdf:37 | Successfully parsed PDF: 1 pages, 3566 characters
2026-02-20 10:40:12 | src.extraction.resume_parser | INFO | parse_text:46 | Normalizing resume text
2026-02-20 10:40:12 | src.extraction.resume_parser | INFO | parse_text:54 | Text normalization complete: 3445 characters
2026-02-20 10:40:12 | src.extraction.resume_parser | INFO | chunk_resume:59 | Chunking resume text
2026-02-20 10:40:12 | src.extraction.resume_parser | INFO | chunk_resume:62 | Created 10 chunks
2026-02-20 10:40:12 | src.extraction.resume_parser | INFO | process_resume:88 | Resume processing complete: 10 chunks created
2026-02-20 11:46:02 | src.extraction.resume_parser | INFO | __init__:22 | ResumeParser initialized with chunk_size=400, overlap=50
2026-02-20 11:46:02 | src.extraction.resume_parser | INFO | process_resume:68 | Starting complete resume processing: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 11:46:02 | src.extraction.resume_parser | INFO | parse_pdf:26 | Parsing resume from: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 11:46:02 | src.extraction.resume_parser | INFO | parse_pdf:37 | Successfully parsed PDF: 1 pages, 3566 characters
2026-02-20 11:46:02 | src.extraction.resume_parser | INFO | parse_text:46 | Normalizing resume text
2026-02-20 11:46:02 | src.extraction.resume_parser | INFO | parse_text:54 | Text normalization complete: 3445 characters
2026-02-20 11:46:02 | src.extraction.resume_parser | INFO | chunk_resume:59 | Chunking resume text
2026-02-20 11:46:02 | src.extraction.resume_parser | INFO | chunk_resume:62 | Created 10 chunks
2026-02-20 11:46:02 | src.extraction.resume_parser | INFO | process_resume:88 | Resume processing complete: 10 chunks created
2026-02-20 11:51:13 | src.extraction.resume_parser | INFO | __init__:22 | ResumeParser initialized with chunk_size=400, overlap=50
2026-02-20 11:51:13 | src.extraction.resume_parser | INFO | process_resume:68 | Starting complete resume processing: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 11:51:13 | src.extraction.resume_parser | INFO | parse_pdf:26 | Parsing resume from: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-02-20 11:51:14 | src.extraction.resume_parser | INFO | parse_pdf:37 | Successfully parsed PDF: 1 pages, 3566 characters
2026-02-20 11:51:14 | src.extraction.resume_parser | INFO | parse_text:46 | Normalizing resume text
2026-02-20 11:51:14 | src.extraction.resume_parser | INFO | parse_text:54 | Text normalization complete: 3445 characters
2026-02-20 11:51:14 | src.extraction.resume_parser | INFO | chunk_resume:59 | Chunking resume text
2026-02-20 11:51:14 | src.extraction.resume_parser | INFO | chunk_resume:62 | Created 10 chunks
2026-02-20 11:51:14 | src.extraction.resume_parser | INFO | process_resume:88 | Resume processing complete: 10 chunks created
2026-05-19 17:26:55 | src.extraction.resume_parser | INFO | __init__:22 | ResumeParser initialized with chunk_size=400, overlap=50
2026-05-19 17:26:55 | src.extraction.resume_parser | INFO | process_resume:68 | Starting complete resume processing: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-05-19 17:26:55 | src.extraction.resume_parser | INFO | parse_pdf:26 | Parsing resume from: C:\Users\User\OneDrive\Documents\VS CODE\VERITAS\data\resume-sample.pdf
2026-05-19 17:26:56 | src.extraction.resume_parser | INFO | parse_pdf:37 | Successfully parsed PDF: 1 pages, 3566 characters
2026-05-19 17:26:56 | src.extraction.resume_parser | INFO | parse_text:46 | Normalizing resume text
2026-05-19 17:26:56 | src.extraction.resume_parser | INFO | parse_text:54 | Text normalization complete: 3445 characters
2026-05-19 17:26:56 | src.extraction.resume_parser | INFO | chunk_resume:59 | Chunking resume text
2026-05-19 17:26:56 | src.extraction.resume_parser | INFO | chunk_resume:62 | Created 10 chunks
2026-05-19 17:26:56 | src.extraction.resume_parser | INFO | process_resume:88 | Resume processing complete: 10 chunks created
