2026-02-20 10:33:51 | src.matching.jd_extractor | INFO | extract_jd_requirements:122 | Extracting JD requirements (LLM + Regex hybrid)
2026-02-20 10:33:51 | src.matching.jd_extractor | ERROR | extract_jd_requirements:179 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-20 10:33:51 | src.matching.jd_extractor | INFO | extract_jd_requirements:183 | Fallback: Using regex extraction, found 2 skills
2026-02-20 10:36:24 | src.matching.jd_extractor | INFO | __init__:84 | JDExtractor initialized
2026-02-20 10:36:24 | src.matching.jd_extractor | INFO | extract_jd_requirements:122 | Extracting JD requirements (LLM + Regex hybrid)
2026-02-20 10:36:24 | src.matching.jd_extractor | ERROR | extract_jd_requirements:179 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-20 10:36:24 | src.matching.jd_extractor | INFO | extract_jd_requirements:183 | Fallback: Using regex extraction, found 2 skills
2026-02-20 10:41:08 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-02-20 10:41:08 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-02-20 10:41:08 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-20 11:46:59 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-02-20 11:46:59 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-02-20 11:46:59 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-08-09 13:20:59 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-08-09 13:20:59 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-08-09 13:20:59 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-08-09 13:21:29 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-08-09 13:21:29 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-08-09 13:21:29 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-08-09 13:35:26 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-08-09 13:35:26 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-08-09 13:35:30 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: [WinError 10061] No connection could be made because the target machine actively refused it
2026-08-10 12:49:50 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-08-10 12:49:50 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-08-10 12:49:54 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: [WinError 10061] No connection could be made because the target machine actively refused it
2026-08-10 14:02:01 | src.matching.jd_extractor | INFO | __init__:53 | JDExtractor initialized
2026-08-10 14:02:01 | src.matching.jd_extractor | INFO | extract_jd_requirements:73 | Extracting JD requirements
2026-08-10 14:02:01 | src.matching.jd_extractor | INFO | extract_jd_requirements:116 | Extracted JD: AI Engineer
